bucket_label,count,share_of_predictions,wins,losses,win_rate,avg_predicted_probability,absolute_error
"[0.00,0.10)",0,0.00000000,0,0,,,
"[0.10,0.20)",0,0.00000000,0,0,,,
"[0.20,0.30)",34,0.01046798,9,25,0.26470588,0.27225152,0.00754564
"[0.30,0.40)",277,0.08528325,100,177,0.36101083,0.36352458,0.00251375
"[0.40,0.50)",1145,0.35252463,504,641,0.44017467,0.45964862,0.01947395
"[0.50,0.60)",1481,0.45597291,809,672,0.54625253,0.53119671,0.01505582
"[0.60,0.70)",277,0.08528325,177,100,0.63898917,0.63647542,0.00251375
"[0.70,0.80)",34,0.01046798,25,9,0.73529412,0.72774848,0.00754564
"[0.80,0.90)",0,0.00000000,0,0,,,
"[0.90,1.00)",0,0.00000000,0,0,,,
